Customer_ID,Gender,Age_Group,City,Loyalty_Member
1,Male,18-25,Mecca,Yes
2,Female,26-35,Mecca,No
3,Female,60+,Hail,No
4,Female,60+,Medina,No
5,Female,36-45,Mecca,No
6,Male,18-25,Khobar,No
7,Male,60+,Dammam,Yes
8,Male,46-60,Mecca,No
9,Male,26-35,Mecca,Yes
10,Female,26-35,Mecca,Yes
11,Male,36-45,Riyadh,Yes
12,Female,26-35,Tabuk,Yes
13,Male,60+,Mecca,No
14,Female,46-60,Medina,Yes
15,Male,36-45,Tabuk,Yes
16,Male,46-60,Tabuk,Yes
17,Male,26-35,Dammam,No
18,Male,26-35,Jeddah,No
19,Male,60+,Abha,No
20,Female,36-45,Qassim,No
21,Female,60+,Qassim,Yes
22,Male,26-35,Khobar,No
23,Male,26-35,Khobar,Yes
24,Male,26-35,Riyadh,No
25,Female,60+,Tabuk,No
26,Male,26-35,Mecca,No
27,Female,18-25,Khobar,No
28,Male,46-60,Jeddah,Yes
29,Male,36-45,Dammam,Yes
30,Male,26-35,Mecca,No
31,Female,18-25,Tabuk,No
32,Female,36-45,Hail,No
33,Female,18-25,Qassim,Yes
34,Female,36-45,Qassim,No
35,Male,18-25,Khobar,Yes
36,Female,60+,Riyadh,Yes
37,Female,60+,Tabuk,No
38,Male,60+,Abha,No
39,Male,46-60,Medina,No
40,Female,36-45,Jeddah,Yes
41,Female,46-60,Tabuk,No
42,Female,60+,Riyadh,No
43,Male,36-45,Mecca,No
44,Male,46-60,Hail,Yes
45,Female,46-60,Riyadh,Yes
46,Female,60+,Tabuk,No
47,Male,26-35,Mecca,Yes
48,Female,46-60,Tabuk,Yes
49,Male,60+,Khobar,Yes
50,Female,60+,Riyadh,No
51,Male,26-35,Jeddah,No
52,Male,26-35,Tabuk,No
53,Female,46-60,Tabuk,No
54,Male,46-60,Hail,Yes
55,Female,26-35,Qassim,Yes
56,Male,36-45,Abha,No
57,Female,18-25,Mecca,No
58,Female,26-35,Tabuk,No
59,Female,36-45,Hail,No
60,Female,36-45,Khobar,Yes
61,Female,26-35,Abha,Yes
62,Female,46-60,Abha,No
63,Male,46-60,Riyadh,Yes
64,Female,18-25,Tabuk,Yes
65,Female,18-25,Dammam,No
66,Male,18-25,Tabuk,No
67,Female,60+,Abha,Yes
68,Female,60+,Abha,No
69,Female,60+,Riyadh,Yes
70,Male,36-45,Khobar,Yes
71,Female,18-25,Jeddah,No
72,Male,36-45,Riyadh,Yes
73,Female,18-25,Mecca,No
74,Female,46-60,Dammam,Yes
75,Female,60+,Dammam,Yes
76,Male,18-25,Qassim,No
77,Male,46-60,Qassim,Yes
78,Male,46-60,Mecca,No
79,Female,18-25,Tabuk,No
80,Male,18-25,Tabuk,No
81,Female,46-60,Mecca,No
82,Female,26-35,Abha,No
83,Male,26-35,Abha,No
84,Female,36-45,Riyadh,No
85,Female,18-25,Qassim,Yes
86,Female,36-45,Khobar,No
87,Male,26-35,Qassim,No
88,Male,18-25,Riyadh,No
89,Female,18-25,Qassim,No
90,Male,18-25,Mecca,No
91,Female,26-35,Khobar,Yes
92,Female,60+,Hail,No
93,Male,36-45,Tabuk,No
94,Female,18-25,Tabuk,Yes
95,Male,26-35,Abha,No
96,Male,46-60,Riyadh,No
97,Male,46-60,Medina,No
98,Female,36-45,Jeddah,Yes
99,Female,18-25,Qassim,No
100,Male,18-25,Tabuk,No
101,Female,18-25,Dammam,Yes
102,Male,36-45,Tabuk,Yes
103,Male,26-35,Hail,Yes
104,Female,46-60,Medina,No
105,Male,46-60,Jeddah,No
106,Female,36-45,Riyadh,No
107,Male,46-60,Tabuk,Yes
108,Female,18-25,Medina,No
109,Male,46-60,Mecca,Yes
110,Male,46-60,Jeddah,Yes
111,Male,18-25,Medina,Yes
112,Male,60+,Khobar,Yes
113,Male,60+,Khobar,Yes
114,Female,26-35,Qassim,Yes
115,Female,26-35,Dammam,No
116,Male,18-25,Riyadh,Yes
117,Male,36-45,Khobar,No
118,Male,26-35,Mecca,Yes
119,Male,46-60,Hail,Yes
120,Male,46-60,Tabuk,No
121,Male,46-60,Hail,Yes
122,Male,60+,Mecca,No
123,Male,18-25,Tabuk,No
124,Female,18-25,Tabuk,No
125,Male,18-25,Medina,Yes
126,Male,26-35,Mecca,No
127,Female,60+,Hail,No
128,Female,60+,Qassim,No
129,Male,18-25,Hail,Yes
130,Female,46-60,Khobar,No
131,Female,46-60,Abha,No
132,Male,36-45,Abha,No
133,Female,,Dammam,No
134,Male,18-25,Jeddah,Yes
135,Female,18-25,Medina,Yes
136,Male,60+,Hail,No
137,Male,46-60,Medina,No
138,Male,36-45,Qassim,No
139,Female,18-25,Qassim,Yes
140,Male,46-60,Khobar,Yes
141,Female,60+,Medina,Yes
142,Female,60+,Khobar,No
143,Male,60+,Mecca,Yes
144,Male,36-45,Mecca,No
145,Female,18-25,Dammam,Yes
146,Female,18-25,Dammam,Yes
147,Male,60+,Khobar,No
148,Female,46-60,Medina,Yes
149,Female,36-45,Medina,Yes
150,Male,26-35,Dammam,Yes
151,Male,36-45,Tabuk,No
152,Female,60+,Tabuk,No
153,Female,26-35,Hail,Yes
