Customer_ID,Recency,Frequency,Monetary,Customer_Segment
1,78,27,4664.52,VIP
2,139,23,4303.45,VIP
3,80,20,3444.0,VIP
4,45,23,4126.56,VIP
5,78,22,3143.61,VIP
6,5,30,4721.19,VIP
7,39,26,4053.66,VIP
8,94,19,2845.21,VIP
9,83,31,4498.25,VIP
10,144,17,2372.27,VIP
11,5,27,5068.86,VIP
12,15,22,3018.2,VIP
13,61,26,5536.3,VIP
14,25,21,3767.85,VIP
15,79,23,2731.16,VIP
16,34,21,3562.0,VIP
17,22,25,4463.59,VIP
18,125,24,5048.55,VIP
19,78,25,2430.27,VIP
20,9,30,4407.25,VIP
21,20,20,4213.54,VIP
22,74,25,5493.02,VIP
23,29,21,3703.74,VIP
24,30,24,5118.7,VIP
25,91,16,3434.62,VIP
26,122,25,3189.66,VIP
27,215,34,4344.25,VIP
28,98,24,3065.1600000000003,VIP
29,106,26,3989.48,VIP
30,21,18,3909.6099999999997,VIP
31,3,26,3377.17,VIP
32,36,25,4942.95,VIP
33,49,27,5286.02,VIP
34,106,22,3554.61,VIP
35,89,27,3192.76,VIP
36,2,41,7086.85,VIP
37,0,26,4219.64,VIP
38,19,33,4895.6,VIP
39,97,18,3190.9900000000002,VIP
40,61,24,4193.56,VIP
41,120,26,3424.41,VIP
42,177,18,3672.45,VIP
43,118,34,6102.03,VIP
44,141,17,3090.29,VIP
45,5,28,4514.43,VIP
46,9,25,3642.85,VIP
47,102,26,3442.44,VIP
48,1,32,5399.820000000001,VIP
49,42,24,4169.0599999999995,VIP
50,26,28,5749.17,VIP
51,84,23,5317.85,VIP
52,57,15,2118.77,VIP
53,1,26,4104.01,VIP
54,28,24,3692.7,VIP
55,29,28,5092.64,VIP
56,20,31,5567.75,VIP
57,54,28,4392.55,VIP
58,2,27,4446.05,VIP
59,51,21,3097.92,VIP
60,199,29,5036.55,VIP
61,47,33,4575.47,VIP
62,52,22,3955.25,VIP
63,88,19,3109.13,VIP
64,7,29,5578.610000000001,VIP
65,114,21,2580.54,VIP
66,449,32,6044.2,VIP
67,151,34,4467.179999999999,VIP
68,4,21,2462.81,VIP
69,146,28,3766.72,VIP
70,98,24,4177.79,VIP
71,171,22,3491.65,VIP
72,59,22,3645.7200000000003,VIP
73,59,26,4560.54,VIP
74,157,30,4118.14,VIP
75,21,22,3052.5099999999998,VIP
76,59,22,3093.69,VIP
77,101,28,6680.360000000001,VIP
78,49,25,3522.44,VIP
79,79,18,2554.37,VIP
80,88,21,5039.14,VIP
81,35,23,3955.77,VIP
82,36,24,3772.77,VIP
83,236,25,3788.54,VIP
84,14,24,3713.1,VIP
85,60,27,4697.43,VIP
86,32,25,3209.46,VIP
87,25,24,3167.55,VIP
88,13,31,5709.88,VIP
89,23,31,4999.37,VIP
90,176,23,3207.24,VIP
91,8,27,4850.28,VIP
92,47,21,2619.6,VIP
93,1,26,2929.94,VIP
94,0,27,4285.7300000000005,VIP
95,120,30,4133.98,VIP
96,137,19,2589.32,VIP
97,4,29,6228.08,VIP
98,104,22,4242.5599999999995,VIP
99,94,21,3389.3399999999997,VIP
100,13,22,2605.51,VIP
101,36,27,3236.38,VIP
102,342,21,2969.42,VIP
103,168,18,2603.5099999999998,VIP
104,139,28,4095.83,VIP
105,205,28,3556.31,VIP
106,78,28,3850.1,VIP
107,21,19,2271.33,VIP
108,40,31,3887.92,VIP
109,210,21,2954.9,VIP
110,153,26,4538.4400000000005,VIP
111,27,15,1892.04,VIP
112,13,17,2960.34,VIP
113,45,19,2892.13,VIP
114,267,16,3256.33,VIP
115,121,18,2488.19,VIP
116,3,32,2968.09,VIP
117,172,16,3550.23,VIP
118,54,20,3872.7799999999997,VIP
119,125,30,4264.82,VIP
120,13,27,3356.7,VIP
121,19,21,4005.27,VIP
122,39,27,4172.12,VIP
123,47,31,4564.18,VIP
124,252,20,4512.96,VIP
125,118,22,2333.34,VIP
126,276,21,3086.4700000000003,VIP
127,135,19,3319.1200000000003,VIP
128,36,25,3597.72,VIP
129,58,28,4411.82,VIP
130,12,21,2908.87,VIP
131,182,21,5116.17,VIP
132,73,18,3172.6,VIP
133,151,32,4280.35,VIP
134,66,21,2001.97,VIP
135,118,22,3542.34,VIP
136,117,25,4996.1,VIP
137,36,19,5483.08,VIP
138,258,20,4726.87,VIP
139,85,33,4589.37,VIP
140,4,20,3008.94,VIP
141,147,13,2014.1799999999998,VIP
142,52,15,2208.19,VIP
143,225,27,3848.5099999999998,VIP
144,2,26,5597.28,VIP
145,80,30,4554.98,VIP
146,15,26,4721.36,VIP
147,81,29,4825.24,VIP
148,35,24,3456.34,VIP
149,9,27,5842.29,VIP
150,26,36,6832.49,VIP
151,180,17,2708.27,VIP
152,62,24,3995.96,VIP
153,58,20,3121.85,VIP
154,193,25,3625.83,VIP
155,20,36,5301.29,VIP
156,17,27,4262.5,VIP
157,60,32,4604.09,VIP
158,35,22,3929.0499999999997,VIP
159,22,18,3771.04,VIP
160,96,27,3685.31,VIP
161,79,20,4136.95,VIP
162,106,28,4710.72,VIP
163,71,18,2428.45,VIP
164,115,25,3321.6800000000003,VIP
165,14,25,4723.49,VIP
166,22,23,4204.86,VIP
167,6,25,3935.98,VIP
168,101,23,4389.97,VIP
169,56,25,5082.1,VIP
170,90,19,3637.15,VIP
171,42,24,4298.7,VIP
172,33,20,3264.64,VIP
173,41,23,2728.63,VIP
174,219,17,3558.6499999999996,VIP
175,10,27,3448.33,VIP
176,343,21,2056.06,VIP
177,47,25,2127.98,VIP
178,60,19,2408.12,VIP
179,41,22,3639.9700000000003,VIP
180,155,18,2309.59,VIP
181,187,13,3019.96,VIP
182,28,33,4345.67,VIP
183,67,21,3013.12,VIP
184,9,23,4771.21,VIP
185,59,13,2110.67,VIP
186,16,31,3691.67,VIP
187,71,20,2911.82,VIP
188,74,23,3527.72,VIP
189,23,18,2778.85,VIP
190,66,24,3231.4,VIP
191,86,26,4374.94,VIP
192,103,25,3627.61,VIP
193,226,28,4554.82,VIP
194,59,28,4402.3,VIP
195,250,21,2726.82,VIP
196,62,22,3280.4,VIP
197,30,19,3033.16,VIP
198,87,16,1694.81,VIP
199,74,26,3729.56,VIP
200,71,17,2158.2,VIP
201,87,30,5786.66,VIP
202,60,22,2383.6,VIP
203,7,33,5831.74,VIP
204,15,21,4924.81,VIP
205,50,23,3850.0,VIP
206,62,21,3014.57,VIP
207,6,20,2740.42,VIP
208,110,23,4523.71,VIP
209,312,23,4988.65,VIP
210,29,32,6701.51,VIP
211,56,21,3302.59,VIP
212,32,16,4625.5199999999995,VIP
213,36,21,3627.3,VIP
